CPF CNPJ;TELEFONE;CELULAR;DDD;Numero do Telefone;Nome/Razão Social
41200012453;;;081;3355-4061;MUNICIPIO DO RECIFE;
41200012453;;;081;3232-2523;MUNICIPIO DO RECIFE
41200012453;;;081;3355-2804;MUNICIPIO DO RECIFE
41200012453;;;081;3355-2041;MUNICIPIO DO RECIFE
41200012453;;;081;3355-1224;MUNICIPIO DO RECIFE
41200012453;;;081;3355-3285;MUNICIPIO DO RECIFE
41200012453;;;081;3232-2608;MUNICIPIO DO RECIFE
41200012453;;;081;3355-2060;MUNICIPIO DO RECIFE
41200012453;;;081;3355-3127;MUNICIPIO DO RECIFE
41200012453;;;081;3355-2001;MUNICIPIO DO RECIFE
